"","X","Y","Z","loc","jaar"
"1:340",206086.442,188522.769,21.892,"controle6-40","2016"
"1:341",206086.994,188522.418,22.354,"controle6-41","2016"
"1:342",206091.046,188524.883,22.286,"controle6-42","2016"
"1:343",206090.361,188526.724,21.782,"controle6-43","2016"
"1:344",206090.736,188525.804,21.743,"controle6-44","2016"
"1:345",206090.075,188527.521,21.743,"controle6-45","2016"
"1:346",206089.714,188528.515,21.804,"controle6-46","2016"
"1:347",206091.95,188529.786,21.801,"controle6-47","2016"
"1:348",206092.615,188528.934,21.947,"controle6-48","2016"
"1:349",206092.995,188528.003,21.924,"controle6-49","2016"
"1:350",206093.386,188527.305,21.815,"controle6-50","2016"
"1:351",206093.948,188526.602,21.874,"controle6-51","2016"
"1:352",206096.47,188527.785,21.91,"controle6-52","2016"
"1:353",206096.191,188528.765,21.921,"controle6-53","2016"
"1:354",206095.793,188529.502,21.946,"controle6-54","2016"
"1:355",206095.256,188530.43,21.927,"controle6-55","2016"
"1:356",206094.951,188531.224,21.763,"controle6-56","2016"
"1:357",206097.443,188532.597,21.878,"controle6-57","2016"
"1:358",206098.001,188531.642,21.84,"controle6-58","2016"
"1:359",206098.385,188530.864,21.84,"controle6-59","2016"
"1:360",206098.871,188529.869,21.958,"controle6-60","2016"
"1:361",206099.474,188529.225,22.277,"controle6-61","2016"
"1:362",206101.924,188530.455,22.365,"controle6-62","2016"
"1:363",206101.346,188531.466,21.788,"controle6-63","2016"
"1:364",206100.831,188532.304,21.733,"controle6-64","2016"
"1:365",206100.217,188533.171,21.673,"controle6-65","2016"
"1:366",206099.311,188533.955,21.954,"controle6-66","2016"
"1:367",206103.906,188536.565,21.85,"controle6-67","2016"
"1:368",206104.393,188535.907,21.682,"controle6-68","2016"
"1:369",206104.87,188534.502,21.666,"controle6-69","2016"
"1:370",206105.385,188533.673,21.671,"controle6-70","2016"
"1:371",206105.806,188532.804,22.371,"controle6-71","2016"
"1:372",206108.14,188534.226,22.001,"controle6-72","2016"
"1:373",206107.584,188535.238,21.902,"controle6-73","2016"
"1:374",206107.241,188536.101,21.813,"controle6-74","2016"
"1:375",206107.106,188536.844,21.885,"controle6-75","2016"
"1:376",206106.7,188537.684,21.894,"controle6-76","2016"
"1:377",205857.169,188407.527,21.812,"controle4-1","2016"
"1:378",205856.796,188408.205,21.842,"controle4-2","2016"
"1:379",205856.374,188408.87,21.94,"controle4-3","2016"
"1:380",205855.969,188409.706,21.864,"controle4-4","2016"
"1:381",205855.304,188410.82,21.847,"controle4-5","2016"
"1:382",205858.613,188412.541,21.725,"controle4-6","2016"
"1:383",205859.121,188411.884,21.714,"controle4-7","2016"
"1:384",205859.497,188411.188,21.545,"controle4-8","2016"
"1:385",205859.959,188410.154,21.683,"controle4-9","2016"
"1:386",205860.465,188409.449,21.923,"controle4-10","2016"
"1:387",205863.201,188411.103,21.869,"controle4-11","2016"
"1:388",205862.763,188411.975,21.863,"controle4-12","2016"
"1:389",205862.196,188412.898,21.618,"controle4-13","2016"
"1:390",205861.837,188413.492,21.631,"controle4-14","2016"
"1:391",205861.394,188414.341,21.786,"controle4-15","2016"
"1:392",205863.664,188415.796,21.743,"controle4-16","2016"
"1:393",205864.226,188414.971,21.664,"controle4-17","2016"
"1:394",205864.73,188414.234,21.65,"controle4-18","2016"
"1:395",205865.237,188413.335,21.848,"controle4-19","2016"
"1:396",205865.768,188412.431,21.96,"controle4-20","2016"
